鹌鹑蛋|韭菜:缓解肾虚腰痛阳痿|香菇:面部易长黑斑 ,猪肝:面生黑斑
鹌鹑|辣椒:同食促进食欲|杏鲍菇:可能引起中毒 ,火腿:使面色发黑,五花肉:使面色发黑,排骨:使人面色发黑,猪肉:面生黑斑
白菜薹|芥蓝 :抗癌 |
白菜|蚕豆:增加抵抗力 ,海带:防治碘不足,板栗:去除雀斑和黑眼圈,鲤鱼:改善妊娠水肿 ,辣椒:帮助肠胃消化、提高机体免疫力,栗子:去除雀斑和黑眼圈,鸭肉:促进血液中胆固醇的代谢,鸭腿:促进血液中胆固醇的代谢,牛肚:增强体质,猪肝:滋补,火腿:滋阴润燥,五花肉:滋阴润燥,排骨:滋阴润燥,猪肉:补充营养通便|山竹:身体不适 ,兔肉:腹泻呕吐
白果|薏米:健脾除湿、清热排脓的作用,芦笋:有润肺定喘,杏仁:健脾固肾，收涩止带,羊肉:温补肺气，止咳的作用,羊排:具有温补肺气，止咳的作用|鳗鱼:鳗鱼产生不利于人体的生化反应
百合|糯米:改善气血消除疲劳 ,竹荪:润肺止咳,芦笋:抗癌,银耳:滋阴润肺,鸡蛋:滋阴润燥清心安神|羊骨:腹泻,羊肉:腹泻,火腿:中毒,五花肉:中毒,排骨:中毒,猪肉:一起吃会引起中毒
白萝卜|香干:有利于消化,千张:有利于消化,紫菜:清肺热治咳嗽,豆腐:有利于消化,腐竹:有利于消化,豆腐干:有利于消化,北豆腐:有利于消化,油豆腐:有利于消化,鹅肉:润肺止咳,羊肉:消积滞、化痰热,羊骨:消积滞、化痰热|首乌 :身体不适 ,银耳:易患皮炎,木耳:引发皮炎,丝瓜:伤元气,藕:生食寒性较大,菠萝:身体不适,猪腰:影响消化,胡萝卜:胡萝卜含有抗坏血酸酶，会破坏白萝卜中的维生素C，使两种萝卜的营养价值都大为降低。
板栗|白菜:去除雀斑和黑眼圈,鸡肉:补血养身,鸡胸肉:补血养身,仔鸡:补血|牛肉酱:栗子中的维生素易与牛肉中的微量元素发生反应，削弱栗子的营养价值，而且不易消化 ,杏仁:一起吃会胃痛,羊骨:二者都不易消化，同炖共炒都不相宜，甚至可能同吃还会引起呕吐,羊肉:二者都不易消化，同炖共炒都不相宜，甚至可能同吃还会引起呕吐,牛里脊:同食削弱栗子的营养价值、不易消化,牛腩:引起呕吐,牛排:呕吐,牛肉:栗子中的维生素易与牛肉中的微量元素发生反应，削弱栗子的营养价值，而且不易消化
鲍鱼|竹笋: 营养全面，易于吸收|牛肝:易发生消化不良 ,鸡肉:影响消化吸收,鸡胸肉:影响消化吸收,仔鸡:影响消化吸收
鲅鱼|豆腐:促进蛋白的吸收|牛肝:易出现消化不良 
北豆腐|带鱼:补钙,海带:预防碘缺乏,白萝卜:有利于消化|蜂蜜:有损听力，腹泻 
扁豆|山药:补脾益肾|
比目鱼|豆腐:增加蛋白质的吸收率 ,胡萝卜:防癌抗癌|豆腐:增加蛋白质的吸收率 
冰糖|银耳:滋补润肺,梨:补充津液|
荸荠|木耳:补气强身,香菇:益胃助食,核桃:有利于消化|
菠菜|花生酱:有利于维生素的吸收,粉丝:促进营养素的吸收,海带:防止结石,鸡蛋:提高维生素B12的吸收,茄子:加快血液循环预防癌症,花生:有利于维生素的吸收,杨桃:可防止细胞氧化，还有助于防老抗癌,猪肝:防治贫血|梅花肉:影响营养素的吸收,牛奶:一起吃会引起痢疾 ,蜂蜜:引起心痛 ,豆腐:菠菜中的草酸与豆府中的钙形成草酸钙，使人体的钙无法吸收 ,奶酪:菠菜含丰富的钙质，乳酪所含的化学成份会影响钙的消化吸收 ,鳝鱼:一起吃易导致腹泻,黄鳝:腹泻 ,黄豆:食物中的维生素C会对铜的析放量产生抑制作用 ,韭菜:腹泻 ,黄瓜:菠菜中的维生素C会被黄瓜中的分解酶破坏,猪肉:减少铜的吸收,大豆:食物中的维生素C会对铜的析放量产生抑制作用。,乳酪: 菠菜含丰富的钙质，乳酪所含的化学成份会影响钙的消化吸收。
薄荷|鲫鱼:可治小儿久咳,鸡肉:可起到消火解暑的功效,豆腐:可治疗伤风鼻塞，打喷嚏，流鼻涕等症 ,粳米:具清新怡神，疏风散热增过食欲，帮助消化的功效|甲鱼 :易导致中毒 
